code;position1;position2;position34;position8;description;JSON
420214.5;4;2;Aorte thoracique;5;Aorte thoracique lacération (perforation, ponction) majeure avec paraplégie non causée par un traumatisme direct de la moelle épinière;{ code : 420214.5, position1 : 4, position2 : 2, position34 : Aorte thoracique, position8 : 5, description : Aorte thoracique lacération (perforation, ponction) majeure avec paraplégie non causée par un traumatisme direct de la moelle épinière},
420216.5;4;2;Aorte thoracique;5;"Aorte thoracique [OIS IV ou V pour toute la catégorie à moins d'avis contraire] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume avec hémorragie limitée au médiastin";"{ code : 420216.5, position1 : 4, position2 : 2, position34 : Aorte thoracique, position8 : 5, description : Aorte thoracique [OIS IV ou V pour toute la catégorie à moins d'avis contraire] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume avec hémorragie limitée au médiastin},"
420218.6;4;2;Aorte thoracique;6;"Aorte thoracique [OIS IV ou V pour toute la catégorie à moins d'avis contraire]lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume avec hémorragie non limitée au médiastin [OIS VI]";"{ code : 420218.6, position1 : 4, position2 : 2, position34 : Aorte thoracique, position8 : 6, description : Aorte thoracique [OIS IV ou V pour toute la catégorie à moins d'avis contraire]lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume avec hémorragie non limitée au médiastin [OIS VI]},"
420299.4;4;2;Aorte thoracique;4;Aorte thoracique, SAI [OIS IV ou V pour toute la catégorie à moins d'avis contraire];{ code : 420299.4, position1 : 4, position2 : 2, position34 : Aorte thoracique, position8 : 4, description : Aorte thoracique, SAI [OIS IV ou V pour toute la catégorie à moins d'avis contraire]},
420402.3;4;2;Artère;3;Tronc artériel brachio-céphalique [OIS III pour toute la catégorie] déchirure intimale, sans rupture;{ code : 420402.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Tronc artériel brachio-céphalique [OIS III pour toute la catégorie] déchirure intimale, sans rupture},
420404.3;4;2;Artère;3;"Tronc artériel brachio-céphalique [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme SAI";"{ code : 420404.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Tronc artériel brachio-céphalique [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme SAI},"
420406.3;4;2;Artère;3;"Tronc artériel brachio-céphalique [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle: atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume";"{ code : 420406.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Tronc artériel brachio-céphalique [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle: atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume},"
420408.4;4;2;Artère;4;"Tronc artériel brachio-céphalique [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume";"{ code : 420408.4, position1 : 4, position2 : 2, position34 : Artère, position8 : 4, description : Tronc artériel brachio-céphalique [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume},"
420499.3;4;2;Artère;3;Tronc artériel brachio-céphalique SAI [OIS III pour toute la catégorie];{ code : 420499.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Tronc artériel brachio-céphalique SAI [OIS III pour toute la catégorie]},
420602.3;4;2;Veine;3;"Veine brachio-céphalique [OIS II pour toute la catégorie]lacération; perforation; plaie punctiforme SAI";"{ code : 420602.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Veine brachio-céphalique [OIS II pour toute la catégorie]lacération; perforation; plaie punctiforme SAI},"
420604.3;4;2;Veine;3;"Veine brachio-céphalique [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤  20 % en volume";"{ code : 420604.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Veine brachio-céphalique [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤  20 % en volume},"
420606.4;4;2;Veine;4;"Veine brachio-céphalique [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume";"{ code : 420606.4, position1 : 4, position2 : 2, position34 : Veine, position8 : 4, description : Veine brachio-céphalique [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume},"
420608.5;4;2;Veine;5;"Veine brachio-céphalique [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume avec embolie gazeuse dans la circulation droite";"{ code : 420608.5, position1 : 4, position2 : 2, position34 : Veine, position8 : 5, description : Veine brachio-céphalique [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume avec embolie gazeuse dans la circulation droite},"
420699.3;4;2;Veine;3;Veine brachio-céphalique SAI [OIS II pour toute la catégorie];{ code : 420699.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Veine brachio-céphalique SAI [OIS II pour toute la catégorie]},
420800.5;4;2;Artère;5;"Artère coronaire, lacération ou thrombose de l'artère coronaire gauche, de l'artère coronaire droite ou de l'artère interventriculaire antérieure; du sinus coronaire";"{ code : 420800.5, position1 : 4, position2 : 2, position34 : Artère, position8 : 5, description : Artère coronaire, lacération ou thrombose de l'artère coronaire gauche, de l'artère coronaire droite ou de l'artère interventriculaire antérieure; du sinus coronaire},"
421002.3;4;2;Artère;3;Artère pulmonaire [OIS IV, V pour toute la catégorie] déchirure intimale, sans rupture;{ code : 421002.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Artère pulmonaire [OIS IV, V pour toute la catégorie] déchirure intimale, sans rupture},
421004.3;4;2;Artère;3;"Artère pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme SAI";"{ code : 421004.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Artère pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme SAI},"
421006.3;4;2;Artère;3;"Artère pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume";"{ code : 421006.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Artère pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume},"
421008.4;4;2;Artère;4;Artère pulmonaire lacération (perforation, ponction) majeure;{ code : 421008.4, position1 : 4, position2 : 2, position34 : Artère, position8 : 4, description : Artère pulmonaire lacération (perforation, ponction) majeure},
421008.5;4;2;Artère;5;"Artère pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume";"{ code : 421008.5, position1 : 4, position2 : 2, position34 : Artère, position8 : 5, description : Artère pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume},"
421009.6;4;2;Artère;6;"Artère pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume bilatérale";"{ code : 421009.6, position1 : 4, position2 : 2, position34 : Artère, position8 : 6, description : Artère pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume bilatérale},"
421099.3;4;2;Artère;3;Artère pulmonaire SAI [OIS IV, V pour toute la catégorie];{ code : 421099.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Artère pulmonaire SAI [OIS IV, V pour toute la catégorie]},
421202.3;4;2;Artère;3;"Veine pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme SAI";"{ code : 421202.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Veine pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme SAI},"
421204.3;4;2;Artère;3;"Veine pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume";"{ code : 421204.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Veine pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume},"
421206.4;4;2;Artère;4;Veine pulmonaire lacération (perforation, ponction) majeure;{ code : 421206.4, position1 : 4, position2 : 2, position34 : Artère, position8 : 4, description : Veine pulmonaire lacération (perforation, ponction) majeure},
421206.5;4;2;Artère;5;"Veine pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume";"{ code : 421206.5, position1 : 4, position2 : 2, position34 : Artère, position8 : 5, description : Veine pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume},"
421207.6;4;2;Artère;6;"Veine pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume bilatérale";"{ code : 421207.6, position1 : 4, position2 : 2, position34 : Artère, position8 : 6, description : Veine pulmonaire [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume bilatérale},"
421299.3;4;2;Artère;3;Veine pulmonaire SAI [OIS IV, V pour toute la catégorie];{ code : 421299.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Veine pulmonaire SAI [OIS IV, V pour toute la catégorie]},
421402.3;4;2;Artère;3;Artère subclavière [OIS III pour toute la catégorie] déchirure intimale, sans rupture;{ code : 421402.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Artère subclavière [OIS III pour toute la catégorie] déchirure intimale, sans rupture},
421404.3;4;2;Artère;3;"Artère subclavière [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme SAI";"{ code : 421404.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Artère subclavière [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme SAI},"
421406.3;4;2;Artère;3;"Artère subclavière [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume";"{ code : 421406.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Artère subclavière [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume},"
421408.4;4;2;Artère;4;"Artère subclavière [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume";"{ code : 421408.4, position1 : 4, position2 : 2, position34 : Artère, position8 : 4, description : Artère subclavière [OIS III pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume},"
421499.3;4;2;Artère;3;Artère subclavière SAI [OIS III pour toute la catégorie];{ code : 421499.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Artère subclavière SAI [OIS III pour toute la catégorie]},
421602.3;4;2;Veine;3;"Veine subclavière [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme SAI";"{ code : 421602.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Veine subclavière [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme SAI},"
421604.3;4;2;Veine;3;"Veine subclavière [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume";"{ code : 421604.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Veine subclavière [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume},"
421606.4;4;2;Veine;4;"Veine subclavière [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume";"{ code : 421606.4, position1 : 4, position2 : 2, position34 : Veine, position8 : 4, description : Veine subclavière [OIS II pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume},"
421699.3;4;2;Veine;3;Veine subclavière SAI [OIS II pour toute la catégorie];{ code : 421699.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Veine subclavière SAI [OIS II pour toute la catégorie]},
421802.3;4;2;Veine;3;"Veine cave supérieure et portion thoracique de la veine cave inférieure [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme SAI";"{ code : 421802.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Veine cave supérieure et portion thoracique de la veine cave inférieure [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme SAI},"
421804.3;4;2;Veine;3;"Veine cave supérieure et portion thoracique de la veine cave inférieure [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume avec ou sans thrombose";"{ code : 421804.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Veine cave supérieure et portion thoracique de la veine cave inférieure [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume avec ou sans thrombose},"
421806.4;4;2;Veine;4;"Veine cave supérieure et portion thoracique de la veine cave inférieure [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume";"{ code : 421806.4, position1 : 4, position2 : 2, position34 : Veine, position8 : 4, description : Veine cave supérieure et portion thoracique de la veine cave inférieure [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume},"
421808.5;4;2;Veine;5;"Veine cave supérieure et portion thoracique de la veine cave inférieure [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume avec embolie gazeuse dans la circulation droite";"{ code : 421808.5, position1 : 4, position2 : 2, position34 : Veine, position8 : 5, description : Veine cave supérieure et portion thoracique de la veine cave inférieure [OIS IV, V pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume avec embolie gazeuse dans la circulation droite},"
421899.3;4;2;Veine;3;Veine cave supérieure et portion thoracique de la veine cave inférieure SAI [OIS IV, V pour toute la catégorie];{ code : 421899.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Veine cave supérieure et portion thoracique de la veine cave inférieure SAI [OIS IV, V pour toute la catégorie]},
422002.2;4;2;Artère;2;Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] [OIS I pour toute la catégorie] déchirure intimale, sans rupture;{ code : 422002.2, position1 : 4, position2 : 2, position34 : Artère, position8 : 2, description : Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] [OIS I pour toute la catégorie] déchirure intimale, sans rupture},
422004.2;4;2;Artère;2;"Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] [OIS I pour toute la catégorie] lacération; perforation; plaie punctiforme  SAI";"{ code : 422004.2, position1 : 4, position2 : 2, position34 : Artère, position8 : 2, description : Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] [OIS I pour toute la catégorie] lacération; perforation; plaie punctiforme  SAI},"
422006.2;4;2;Artère;2;"Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] [OIS I pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume";"{ code : 422006.2, position1 : 4, position2 : 2, position34 : Artère, position8 : 2, description : Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] [OIS I pour toute la catégorie] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume},"
422008.3;4;2;Artère;3;"Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] [OIS I pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume";"{ code : 422008.3, position1 : 4, position2 : 2, position34 : Artère, position8 : 3, description : Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] [OIS I pour toute la catégorie] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume},"
422099.2;4;2;Artère;2;Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] SAI [OIS I pour toute la catégorie];{ code : 422099.2, position1 : 4, position2 : 2, position34 : Artère, position8 : 2, description : Autres artères désignées nommément [p.ex., rameaux bronchiques, rameaux oesophagiens, artères intercostales, artère thoracique interne] SAI [OIS I pour toute la catégorie]},
422202.2;4;2;Veine;2;"Autres veines désignées nommément [p. ex., azygos, bronchiques, oesophagiennes,  hémi-azygos, intercostales, jugulaire interne, thoracique interne] lacération; perforation; plaie punctiforme  SAI";"{ code : 422202.2, position1 : 4, position2 : 2, position34 : Veine, position8 : 2, description : Autres veines désignées nommément [p. ex., azygos, bronchiques, oesophagiennes,  hémi-azygos, intercostales, jugulaire interne, thoracique interne] lacération; perforation; plaie punctiforme  SAI},"
422204.2;4;2;Veine;2;"Autres veines désignées nommément [p. ex., azygos, bronchiques, oesophagiennes,  hémi-azygos, intercostales, jugulaire interne, thoracique interne] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume";"{ code : 422204.2, position1 : 4, position2 : 2, position34 : Veine, position8 : 2, description : Autres veines désignées nommément [p. ex., azygos, bronchiques, oesophagiennes,  hémi-azygos, intercostales, jugulaire interne, thoracique interne] lacération; perforation; plaie punctiforme mineure; superficielle; atteinte circonférentielle incomplète; perte de sang ≤ 20 % en volume},"
422206.3;4;2;Veine;3;"Autres veines désignées nommément [p. ex., azygos, bronchiques, oesophagiennes,  hémi-azygos, intercostales, jugulaire interne, thoracique interne] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume";"{ code : 422206.3, position1 : 4, position2 : 2, position34 : Veine, position8 : 3, description : Autres veines désignées nommément [p. ex., azygos, bronchiques, oesophagiennes,  hémi-azygos, intercostales, jugulaire interne, thoracique interne] lacération; perforation; plaie punctiforme majeure; rupture; section complète; perte de substance segmentaire; perte de sang > 20 % en volume},"
422299.2;4;2;Veine;2;Autres veines désignées nommément [p. ex., azygos, bronchiques, oesophagiennes,  hémi-azygos, intercostales, jugulaire interne, thoracique interne] SAI [OIS I pour toute la catégorie à l'exception des veines azygos et jugulaire interne, OIS II];{ code : 422299.2, position1 : 4, position2 : 2, position34 : Veine, position8 : 2, description : Autres veines désignées nommément [p. ex., azygos, bronchiques, oesophagiennes,  hémi-azygos, intercostales, jugulaire interne, thoracique interne] SAI [OIS I pour toute la catégorie à l'exception des veines azygos et jugulaire interne, OIS II]},
430499.1;4;3;Nerf;1;Lésion du nerf vague;{ code : 430499.1, position1 : 4, position2 : 3, position34 : Nerf, position8 : 1, description : Lésion du nerf vague},
440099.9;4;4;SAI;9;Lésion des bronches SAI;{ code : 440099.9, position1 : 4, position2 : 4, position34 : SAI, position8 : 9, description : Lésion des bronches SAI},
440102.3;4;4;Bronches;3;"Bronches principales contusion; hématome";"{ code : 440102.3, position1 : 4, position2 : 4, position34 : Bronches, position8 : 3, description : Bronches principales contusion; hématome},"
440104.3;4;4;Bronches;3;"Bronches principales lacération; déchirure SAI";"{ code : 440104.3, position1 : 4, position2 : 4, position34 : Bronches, position8 : 3, description : Bronches principales lacération; déchirure SAI},"
440106.3;4;4;Bronches;3;"Bronches principales lacération; déchirure sans perforation; une partie de l'épaisseur";"{ code : 440106.3, position1 : 4, position2 : 4, position34 : Bronches, position8 : 3, description : Bronches principales lacération; déchirure sans perforation; une partie de l'épaisseur},"
440108.4;4;4;Bronches;4;"Bronches principales lacération; déchirure perforation; toute l'épaisseur; «fracture»";"{ code : 440108.4, position1 : 4, position2 : 4, position34 : Bronches, position8 : 4, description : Bronches principales lacération; déchirure perforation; toute l'épaisseur; «fracture»},"
440110.5;4;4;Bronches;5;"Bronches principales lacération; déchirure compliquée; avulsion; rupture; section complète; avec séparation";"{ code : 440110.5, position1 : 4, position2 : 4, position34 : Bronches, position8 : 5, description : Bronches principales lacération; déchirure compliquée; avulsion; rupture; section complète; avec séparation},"
440199.3;4;4;Bronches;3;Bronches principales, SAI;{ code : 440199.3, position1 : 4, position2 : 4, position34 : Bronches, position8 : 3, description : Bronches principales, SAI},
440202.1;4;4;Bronches;1;"Bronches au-delà de la bronche principale contusion; hématome";"{ code : 440202.1, position1 : 4, position2 : 4, position34 : Bronches, position8 : 1, description : Bronches au-delà de la bronche principale contusion; hématome},"
440204.2;4;4;Bronches;2;"Bronches au-delà de la bronche principale lacération; déchirure SAI";"{ code : 440204.2, position1 : 4, position2 : 4, position34 : Bronches, position8 : 2, description : Bronches au-delà de la bronche principale lacération; déchirure SAI},"
440206.2;4;4;Bronches;2;"Bronches au-delà de la bronche principale lacération; déchirure sans perforation; une partie de l'épaisseur";"{ code : 440206.2, position1 : 4, position2 : 4, position34 : Bronches, position8 : 2, description : Bronches au-delà de la bronche principale lacération; déchirure sans perforation; une partie de l'épaisseur},"
440208.3;4;4;Bronches;3;"Bronches au-delà de la bronche principale lacération; déchirure perforation; toute l'épaisseur; «fracture»";"{ code : 440208.3, position1 : 4, position2 : 4, position34 : Bronches, position8 : 3, description : Bronches au-delà de la bronche principale lacération; déchirure perforation; toute l'épaisseur; «fracture»},"
440210.4;4;4;Bronches;4;"Bronche au-delà de la bronche principale lacération; déchirure compliquée; avulsion; rupture; section complète; avec séparation";"{ code : 440210.4, position1 : 4, position2 : 4, position34 : Bronches, position8 : 4, description : Bronche au-delà de la bronche principale lacération; déchirure compliquée; avulsion; rupture; section complète; avec séparation},"
440212.3;4;4;Bronches;3;Bronche distale à la bronche souche fracture SAI;{ code : 440212.3, position1 : 4, position2 : 4, position34 : Bronches, position8 : 3, description : Bronche distale à la bronche souche fracture SAI},
440214.3;4;4;Bronches;3;Bronche distale à la bronche souche fracture simple;{ code : 440214.3, position1 : 4, position2 : 4, position34 : Bronches, position8 : 3, description : Bronche distale à la bronche souche fracture simple},
440216.4;4;4;Bronches;4;Bronche distale à la bronche souche fracture majeure (avec séparation);{ code : 440216.4, position1 : 4, position2 : 4, position34 : Bronches, position8 : 4, description : Bronche distale à la bronche souche fracture majeure (avec séparation)},
440299.1;4;4;Bronches;1;Bronches au-delà de la bronche principale SAI;{ code : 440299.1, position1 : 4, position2 : 4, position34 : Bronches, position8 : 1, description : Bronches au-delà de la bronche principale SAI},
440400.5;4;4;Lacération;5;"Cordages tendineux intracardiaques lacération; rupture";"{ code : 440400.5, position1 : 4, position2 : 4, position34 : Lacération, position8 : 5, description : Cordages tendineux intracardiaques lacération; rupture},"
440602.2;4;4;Diaphragme;2;"Diaphragme contusion; hématome [OIS I]";"{ code : 440602.2, position1 : 4, position2 : 4, position34 : Diaphragme, position8 : 2, description : Diaphragme contusion; hématome [OIS I]},"
440604.2;4;4;Diaphragme;2;Diaphragme lacération SAI;{ code : 440604.2, position1 : 4, position2 : 4, position34 : Diaphragme, position8 : 2, description : Diaphragme lacération SAI},
440604.3;4;4;Diaphragme;3;Diaphragme lacération (rupture);{ code : 440604.3, position1 : 4, position2 : 4, position34 : Diaphragme, position8 : 3, description : Diaphragme lacération (rupture)},
440606.3;4;4;Diaphragme;3;Diaphragme lacération ≤ 10 cm [OIS II, III];{ code : 440606.3, position1 : 4, position2 : 4, position34 : Diaphragme, position8 : 3, description : Diaphragme lacération ≤ 10 cm [OIS II, III]},
440608.4;4;4;Diaphragme;4;"Diaphragme lacération > 10 cm; avec perte de tissu importante [OIS IV, V]";"{ code : 440608.4, position1 : 4, position2 : 4, position34 : Diaphragme, position8 : 4, description : Diaphragme lacération > 10 cm; avec perte de tissu importante [OIS IV, V]},"
440610.4;4;4;Diaphragme;4;Diaphragme rupture avec hernie;{ code : 440610.4, position1 : 4, position2 : 4, position34 : Diaphragme, position8 : 4, description : Diaphragme rupture avec hernie},
440699.2;4;4;Diaphragme;2;Diaphragme SAI;{ code : 440699.2, position1 : 4, position2 : 4, position34 : Diaphragme, position8 : 2, description : Diaphragme SAI},
440802.2;4;4;Oesophage;2;"Lésion oesophagienne dans le thorax contusion; hématome [OIS I]";"{ code : 440802.2, position1 : 4, position2 : 4, position34 : Oesophage, position8 : 2, description : Lésion oesophagienne dans le thorax contusion; hématome [OIS I]},"
440804.3;4;4;Oesophage;3;"Lésion oesophagienne dans le thorax lacération; déchirure SAI";"{ code : 440804.3, position1 : 4, position2 : 4, position34 : Oesophage, position8 : 3, description : Lésion oesophagienne dans le thorax lacération; déchirure SAI},"
440805.3;4;4;Oesophage;3;Lésion oesophagienne dans le thorax lésion par ingestion SAI;{ code : 440805.3, position1 : 4, position2 : 4, position34 : Oesophage, position8 : 3, description : Lésion oesophagienne dans le thorax lésion par ingestion SAI},
440806.3;4;4;Oesophage;3;"Lésion oesophagienne dans le thorax lacération; déchirure sans perforation une partie de l'épaisseur; ≤ 50 % de la circonférence [OIS I, II]";"{ code : 440806.3, position1 : 4, position2 : 4, position34 : Oesophage, position8 : 3, description : Lésion oesophagienne dans le thorax lacération; déchirure sans perforation une partie de l'épaisseur; ≤ 50 % de la circonférence [OIS I, II]},"
440807.3;4;4;Oesophage;3;Lésion oesophagienne dans le thorax lésion par ingestion nécrose sur une partie de l'épaisseur;{ code : 440807.3, position1 : 4, position2 : 4, position34 : Oesophage, position8 : 3, description : Lésion oesophagienne dans le thorax lésion par ingestion nécrose sur une partie de l'épaisseur},
440808.4;4;4;Oesophage;4;"Lésion oesophagienne dans le thorax lacération; déchirure perforation; toute l'épaisseur; > 50 % de la circonférence [OIS III]";"{ code : 440808.4, position1 : 4, position2 : 4, position34 : Oesophage, position8 : 4, description : Lésion oesophagienne dans le thorax lacération; déchirure perforation; toute l'épaisseur; > 50 % de la circonférence [OIS III]},"
440809.4;4;4;Oesophage;4;Lésion oesophagienne dans le thorax lésion par ingestion nécrose sur toute l'épaisseur;{ code : 440809.4, position1 : 4, position2 : 4, position34 : Oesophage, position8 : 4, description : Lésion oesophagienne dans le thorax lésion par ingestion nécrose sur toute l'épaisseur},
